NO_IES,UF,CURSO,RAÇA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PRETA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,AMARELA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Administração,PRETA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,COR NÃO DECLARADA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,COR NÃO DECLARADA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,COR NÃO DECLARADA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,COR NÃO DECLARADA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,COR NÃO DECLARADA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,COR NÃO DECLARADA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Análise E Desenvolvimento De Sistemas,PARDA
